Customer_ID,Edad,churn_estimado,retencion_estimado,CLTV_1_anio,CLTV_2_anios,CLTV_3_anios,CLTV_4_anios,CLTV_5_anios
722,37,1,0,0,0,0,0,0
723,33,"0,046418099342365515","0,9535819006576345","1567,7955449301814","2965,011858553634","4210,208295913359","5319,924917810183","6308,902193978166"
724,20,0,1,"61,15888078636098","118,31671329697872","171,7352483536308","221,65911289255797","268,3169302186582"
725,30,1,0,0,0,0,0,0
727,26,0,1,"9183,803665303738","17766,79774502686","25788,28753916061","33285,00697293048","40291,28681757521"
732,55,0,1,"111,43925033997152","215,58808243340286","312,92343953006764","403,8910629848945","488,9075335034243"
734,44,0,1,"199,32710166289428","385,61411256279547","559,7141227496189","722,4244126438465","874,4901041337789"
735,33,1,0,0,0,0,0,0
736,43,1,0,0,0,0,0,0
738,52,1,0,-0,-0,-0,-0,-0
741,34,1,0,0,0,0,0,0
744,33,0,1,"1285,0467289719627","2486,0249803476286","3608,4345610725495","4657,415477637896","5637,771474427941"
745,42,1,0,0,0,0,0,0
746,45,1,0,-0,-0,-0,-0,-0
750,56,0,1,"3342,0560747663553","6465,47296707136","9384,554174833045","12112,667453114997","14662,306030948594"
751,29,"0,19951263991470958","0,8004873600852904","-325,5814101688716","-569,1550583174007","-751,3771392452134","-887,700945330403","-989,6873786480782"
752,71,1,0,0,0,0,0,0
754,51,0,1,"9273,009455315421","17939,37343224572","26038,779018161884","33608,31694892466","40682,65146365622"
757,46,0,1,"9291,018363025702","17974,21309482542","26089,348358189643","33673,58692208144","40761,66034627938"
758,28,1,0,0,0,0,0,0
